"Year","Make","Freq"
"2012","AUDI",0
"2013","AUDI",0
"2014","AUDI",0
"2015","AUDI",0
"2016","AUDI",214
"2017","AUDI",187
"2018","AUDI",174
"2019","AUDI",392
"2020","AUDI",224
"2021","AUDI",544
"2022","AUDI",585
"2012","AZURE DYNAMICS",3
"2013","AZURE DYNAMICS",0
"2014","AZURE DYNAMICS",0
"2015","AZURE DYNAMICS",0
"2016","AZURE DYNAMICS",0
"2017","AZURE DYNAMICS",0
"2018","AZURE DYNAMICS",0
"2019","AZURE DYNAMICS",0
"2020","AZURE DYNAMICS",0
"2021","AZURE DYNAMICS",0
"2022","AZURE DYNAMICS",0
"2012","BENTLEY",0
"2013","BENTLEY",0
"2014","BENTLEY",0
"2015","BENTLEY",0
"2016","BENTLEY",0
"2017","BENTLEY",0
"2018","BENTLEY",0
"2019","BENTLEY",0
"2020","BENTLEY",1
"2021","BENTLEY",1
"2022","BENTLEY",1
"2012","BMW",0
"2013","BMW",0
"2014","BMW",457
"2015","BMW",403
"2016","BMW",383
"2017","BMW",692
"2018","BMW",710
"2019","BMW",279
"2020","BMW",143
"2021","BMW",635
"2022","BMW",905
"2012","CADILLAC",0
"2013","CADILLAC",0
"2014","CADILLAC",58
"2015","CADILLAC",0
"2016","CADILLAC",18
"2017","CADILLAC",15
"2018","CADILLAC",17
"2019","CADILLAC",0
"2020","CADILLAC",0
"2021","CADILLAC",0
"2022","CADILLAC",0
"2012","CHEVROLET",495
"2013","CHEVROLET",817
"2014","CHEVROLET",724
"2015","CHEVROLET",467
"2016","CHEVROLET",309
"2017","CHEVROLET",2744
"2018","CHEVROLET",1126
"2019","CHEVROLET",966
"2020","CHEVROLET",1014
"2021","CHEVROLET",377
"2022","CHEVROLET",891
"2012","CHRYSLER",0
"2013","CHRYSLER",0
"2014","CHRYSLER",0
"2015","CHRYSLER",0
"2016","CHRYSLER",0
"2017","CHRYSLER",94
"2018","CHRYSLER",554
"2019","CHRYSLER",119
"2020","CHRYSLER",286
"2021","CHRYSLER",504
"2022","CHRYSLER",237
"2012","FIAT",0
"2013","FIAT",106
"2014","FIAT",97
"2015","FIAT",242
"2016","FIAT",148
"2017","FIAT",167
"2018","FIAT",53
"2019","FIAT",9
"2020","FIAT",0
"2021","FIAT",0
"2022","FIAT",0
"2012","FISKER",20
"2013","FISKER",0
"2014","FISKER",0
"2015","FISKER",0
"2016","FISKER",0
"2017","FISKER",0
"2018","FISKER",0
"2019","FISKER",0
"2020","FISKER",0
"2021","FISKER",0
"2022","FISKER",0
"2012","FORD",15
"2013","FORD",659
"2014","FORD",627
"2015","FORD",556
"2016","FORD",777
"2017","FORD",659
"2018","FORD",170
"2019","FORD",136
"2020","FORD",65
"2021","FORD",881
"2022","FORD",1250
"2012","HONDA",0
"2013","HONDA",0
"2014","HONDA",9
"2015","HONDA",0
"2016","HONDA",0
"2017","HONDA",0
"2018","HONDA",614
"2019","HONDA",73
"2020","HONDA",79
"2021","HONDA",17
"2022","HONDA",0
"2012","HYUNDAI",0
"2013","HYUNDAI",0
"2014","HYUNDAI",0
"2015","HYUNDAI",0
"2016","HYUNDAI",44
"2017","HYUNDAI",46
"2018","HYUNDAI",20
"2019","HYUNDAI",116
"2020","HYUNDAI",212
"2021","HYUNDAI",186
"2022","HYUNDAI",633
"2012","JAGUAR",0
"2013","JAGUAR",0
"2014","JAGUAR",0
"2015","JAGUAR",0
"2016","JAGUAR",0
"2017","JAGUAR",0
"2018","JAGUAR",0
"2019","JAGUAR",120
"2020","JAGUAR",74
"2021","JAGUAR",6
"2022","JAGUAR",19
"2012","JEEP",0
"2013","JEEP",0
"2014","JEEP",0
"2015","JEEP",0
"2016","JEEP",0
"2017","JEEP",0
"2018","JEEP",0
"2019","JEEP",0
"2020","JEEP",0
"2021","JEEP",628
"2022","JEEP",523
"2012","KIA",0
"2013","KIA",0
"2014","KIA",0
"2015","KIA",22
"2016","KIA",407
"2017","KIA",209
"2018","KIA",322
"2019","KIA",681
"2020","KIA",535
"2021","KIA",74
"2022","KIA",2153
"2012","LAND ROVER",0
"2013","LAND ROVER",0
"2014","LAND ROVER",0
